text,translation,tags
Continue active game,게임 계속하기,[ALIGNMENT:CENTER]
Start new game in existing world,기존 세계에서 새 게임 시작,[ALIGNMENT:CENTER]
Create new world,새 세계 생성,[ALIGNMENT:CENTER]
Object testing arena,오브젝트 테스트 아레나,[ALIGNMENT:CENTER]
Mods,모드,[ALIGNMENT:CENTER]
Settings,설정,[ALIGNMENT:CENTER]
About DF,DF 정보,[ALIGNMENT:CENTER]
Quit,종료,[ALIGNMENT:CENTER]
Welcome to Dwarf Fortress,드워프 포트리스에 오신 것을 환영합니다,[ALIGNMENT:CENTER]
Quit without saving,저장하지 않고 종료,[ALIGNMENT:CENTER]
Save and return to title menu,저장하고 타이틀 메뉴로 돌아가기,[ALIGNMENT:CENTER]
Abandon the fortress to ruin,이 요새를 버리기(폐허가 됨),[ALIGNMENT:CENTER]
Save and continue playing,저장하고 계속 플레이,[ALIGNMENT:CENTER]
Return to game,게임으로 돌아가기,[ALIGNMENT:CENTER]
Retire the fortress (for the time being),요새를 은퇴시키기(잠시),[ALIGNMENT:CENTER]
Dwarf Fortress,드워프 포트리스,[ALIGNMENT:CENTER]
Recent thoughts,최근 생각,
Memories,기억,
"Prepare to guide your stout charges to fortune in a world fraught with many perils. You'll begin by creating your world and watching the region's history unfold. Once this process is complete, you can prepare a group and send them out to seek wealth deep in the mountains. As you dig deeper and more citizens take up residence in your outpost, your doings will attract attention, both wanted and unwanted. Deal with challenges as they arise, and you might one day find that your humble settlement has grown to become a Mountainhome, the center of your civilization.",위험이 도사리는 세계에서 용감한 드워프들을 이끌어 운명을 향해 나아갈 준비를 하세요。먼저 세계를 생성하고 그 지역의 역사가 전개되는 모습을 지켜보게 됩니다。이 과정이 끝나면 무리를 꾸려 산맥 깊숙한 곳으로 보내 부를 찾아 나서게 할 수 있습니다。더 깊이 파고 더 많은 주민이 당신의 전초기지에 정착할수록 당신의 행동은 여러 이들의 관심을 끌게 됩니다，원하든 원치 않든。갑작스러운 도전에 맞서다 보면，언젠가 소박한 정착지가 마운틴홈으로 성장해，문명의 중심이 된 것을 발견하게 될지도 모릅니다。,
"Set tree chopping ",나무 베기 작업을 설정합니다。,
orders.,,
"Set plant gathering ",식물 채집 작업을 설정합니다。,
"Set wall smoothing, ",벽 다듬기，각인，궤도 새기기,
"engraving, track ",및 사격구 새기기 명령을 설정합니다。,
"carving, and ",,
fortification orders.,,
"Hotkey: ",단축키：,
"Remove mining, ",채굴，벌목，식물 채집 및,
"woodcutting, plant ",다듬기 명령을 취소합니다。,
"gathering, and ",,
smoothing orders.,,
"Place structures and ",건설 자재가 필요한 구조물과,
"work areas that require ",작업 구역을 배치합니다。,
construction materials.,,
"Place stockpiles for ",물품 보관을 위한 저장고를 배치합니다。,
item storage.,,
"Place zones to ",집회 구역，,
"establish meeting ",방목지와 기타 기능을 설정하기 위한 구역을 배치합니다。,
"areas, pastures, and ",,
more.,,
"Establish burrows to ",더 큰 요새에서 작업과,
"organize work and ",생활 공간을 정리하기 위해 활동 구역을 설정합니다。,
"living spaces in larger ",,
fortresses.,,
"Set hauling routes for ",마인카트 운송 경로를 설정합니다。,
minecarts.,,
"Set high and low ",높음、낮음 우선순위 통행 구역을 설정합니다。,
traffic areas.,,
"Designate items for ",물품을 버리거나 녹이도록 지정하고，사용 금지된,
"dumping and melting, ",물품과 건물을 다시 사용 가능하게 하며，또한 설정,
"claim forbidden items ",물품 가시성。,
"and buildings, and set ",,
item visibility.,,
"Link a stockpile to ",,
"this stop.  Citizens ",,
"will haul items to and ",,
"from the minecart as ",,
"you specify.  Items for ",,
"the minecart must be ",이 정류장을 비축장에 연결합니다。,
"specified using the ",주민은 당신의 설정에 따라 광차에,
"desired items button to ",물품을 싣고 내립니다。광차에 실 물품은 또한,
the left.,왼쪽의 원하는 물품 버튼에서 추가로 설정해야 합니다。,
"Most tasks in the ",요새의 대부분 작업은 작업장에서,
"fortress are started ",에서 시작하고 완료됩니다。작업에는 보통 원,
"and completed at ",재료가 필요합니다。대부분의 작업장은 바위、,
"workshops.  Tasks ",블록 또는 목재로 지어집니다。,
"generally require raw ",,
"materials and most ",,
"workshops are ",,
"constructed from ",,
"boulders, blocks, or ",,
"Open the nobles and ",귀족 및 관리 메뉴를 엽니다。,
administrators menu.,,
"Open the work orders ",작업 지시 메뉴를 엽니다。,
menu.,,
"Open the place ",장소 정보 메뉴를 엽니다。,
information menu.,,
"Open the task ",작업 정보 메뉴를 엽니다。,
"Open the citizen ",주민 정보 메뉴를 엽니다,
Open the labor menu.,노동 메뉴를 엽니다。,
Open the objects menu.,물체 메뉴를 엽니다。,
Open the justice menu.,사법 메뉴를 엽니다。,
Open the squad sidebar.,부대 사이드바를 엽니다。,
Open the world screen.,세계 화면을 엽니다。,
Set digging orders.,채굴 명령을 설정합니다。,
"Dig a regular hallway ",일반 통로나 방을 팝니다。만약,
"or room.  Assign a ",광부가 없다면，노동 메뉴에서 한,
"miner to the work ",명의 광부를 지정할 수 있습니다。광부는 일을 시작하려면 곡괭이가 필요,
"detail if necessary.  ",합니다。,
"The miner requires a ",,
pick.,,
"Dig a stairwell on this ",이 높이에서 위나 아래로 향하는,
"level, going up or ",계단 통로를 팝니다。선택은 여러,
"down.  Your selection ",높이를 가로질러야 합니다。한 칸을 클릭하고、높이를 바,
"must span multiple ",꾸고、다시 클릭합니다。,
"elevations.  Click on a ",,
"tile, change ",,
"elevations, and click ",,
again.,,
"Dig a ramp on this ",이 높이에서 위로 향하는 경사로를 팝니다。,
"level, going up.",,
"Dig a channel, making a ","수로를 파서, 한 층 아래에",
ramp on the level below.,경사로를 만듭니다。,
"Designate constructed ",건설된 벽、바닥 및 기타 타일을,
"walls, floors, and ",광부가 제거하도록 지정합니다。,
"other constructed tiles ",또한 계단 통로와 경사로도 지정합니다。,
"to be removed by ",,
"miners.  This also ",,
"designates all ",,
stairwells and ramps.,,
"Left click to choose ",왼쪽 클릭으로 사각형의 한 모서리를 선택합니다。,
corners of a rectangle.,,
"Hold left button to ",왼쪽 버튼을 누른 채로 그립니다。,
draw.,,
"Dig only ore and gems ",　　선택한 광석과 보석만 채굴하고，,
"selected, and automine ",새로 드러난 같은 종류의 광석과,
"any ore and gems of the ",보석도 자동으로 채굴합니다。,
"same type which are ",,
uncovered.,,
"Dig only ore and gems ",선택한 광석과 보석만 채굴합니다。,
selected,,
"Selected tiles are very ",,
high priority.,선택한 구역은 최고 우선순위로 설정됩니다。,
low priority.,선택한 구역은 최저 우선순위로 설정됩니다。,
"Selected tiles are high ",선택한 구역은 높은 우선순위로 설정됩니다。,
"Selected tiles are low ",선택한 구역은 낮은 우선순위로 설정됩니다。,
priority.,,
"Selected tiles are ",,
high-medium priority.,선택한 구역은 중상 우선순위로 설정됩니다。,
"medium priority. ",선택한 구역은 중간 우선순위로 설정됩니다。,
medium-low priority.,선택한 구역은 중하 우선순위로 설정됩니다。,
[DEFAULT],　　　　[기본 설정],
"Change to ",블루프린트 전용 모드로 전환합니다。,
blueprint-only mode.,,
"Change to standard dig ",표준 굴착 모드로 전환합니다。,
mode.,,
"Change blueprints to ",블루프린트를 표준 선택 모드로 전환합니다。,
standard selections.,,
"Change standard ",표준 선택을,
"selections to ",블루프린트 모드로 전환합니다。,
blueprints.,,
"Finish setting dig ",굴착 설정 마치기,
"Finish setting tree ",나무 벌목 지시 마치기,
chopping orders.,,
"orders.  Select the ",나무의 밑동을 선택해 벌목꾼이,
"base of the tree so ",도달할 수 있게 하세요。벌목꾼이 없다면,
"that the woodcutter can ",작업 목록에서 벌목꾼을 한 명 지정하여,
"reach it.  Assign a ",이 일을 수행하게 하세요。,
"woodcutter to the work ",벌목꾼은 일을 시작하려면 도끼 한 자루가 필요,
"The woodcutter requires ",,
an axe.,,
"Finish setting plant ",식물 채집 지시 설정을 완료합니다.,
gathering orders.,,
"Finish setting wall ",벽 지시 설정을 완료합니다.,
"Smooth a rough wall to ",거친 벽면을 매끄럽게 다듬어 주민들이,
"make it more pleasing ",더 만족하게 합니다. 또한 벽면의 조각이나 보강을,
"to your citizens.  This ",위한 준비도 합니다.,
"also prepares the wall ",,
"for engraving or ",,
fortification.,,
"Engrave artwork into a ",매끄러운 벽면에 예술 작품을 새깁니다.,
smooth wall.,,
"Carve a track in a ",석제 바닥에 궤도를 새겨,
"stone floor.  Tracks ",경로가 설정된 광차가 사용하도록 합니다.,
"are used by minecarts ",,
"with routes set in the ",,
hauling menu.,,
"Carve a gap in a smooth ",매끄러운 벽면에 틈을 내어,
"wall to allow your ",궁수가 적에게 화살을 쏠 수 있게 합니다.,
"archers to fire upon ",,
invaders.,,
"Finish removing mining ",채굴 등 지시 제거를 완료합니다.,
etc. orders.,,
"Finish placing ",,
structures.,구조물 배치를 완료합니다.,
"These workshops are ",이 작업장들은 염색과 직조를 하거나,
"used in the ",무두질한 가죽을 사용하는 의복 제작,
"clothesmaking process, ",과정에 사용됩니다.,
"whether dyeing and ",,
"weaving or using tanned ",,
hides.,,
"Use leather tanned at ",여기에서는 무두질 작업장에서 무두질한 가죽을 사용해,
"the tanner's shop here ",의복과 도구(예:가방과 물주머니)를 만듭니다.,
"to make clothing and ",,
"tools, such as bags and ",,
waterskins.,,
"Here you can turn ","여기에서는 실을 천으로 만들 수 있으며, 농부 작업장에서",
"thread into cloth, ",온 실이든 지하에서 수집한,
"whether it is thread ",거미 비단이든 상관없습니다.,
"from the farmer's ",,
"workshop or spider silk ",,
gathered underground.,,
"Make cloth into ",여기에서 천을 의복과 도구(예:,
"clothing and tools ",가방과 밧줄)로 만듭니다.,
"here, such as bags and ",,
ropes.,,
"Use dyes here to color ",여기에서 염료를 사용해 실과 천을 염색합니다.,
"thread and cloth.  ",건설에는 통과 양동이가 필요합니다.,
"Requires a barrel and ",,
bucket for construction.,,
"A wide variety of ",이 범주에는 음식과 음료와 관련된 다양한,
"food-and-drink-related ",작업장이 있습니다.,
"workshops can be found ",,
in this category.,,
"Plant crops at the ",농경지에 작물을 재배합니다. 씨앗 또는,
"farmplot.  You will ","포자가 필요하며, 계절에 맞는 작물을 선택해야 합니다.",
"need seeds or spawn and ",작물은 포타시로 비료를 줄 수 있습니다. 지하 깊은 곳의,
"must select crops by ",토양이 더 비옥합니다.,
"season.  Crops can be ",,
"fertilized with potash. ",,
"Soil is richer deeper ",,
underground.,,
"Brew alcohol from ","식물, 과일 또는 꿀로 알코올 음료를",
"plants, fruit, or honey.",양조합니다.,
"Slaughter livestock ","여기서 가축을 도축해 고기, 가죽,",
"here in order to obtain ",뼈와 기타 동물 부산물을 얻습니다.,
"meat, hides, bones, and ",,
other animal products.,,
"Make leather from ",여기서 동물 원피를 가공해 가죽을 만듭니다. 또한,
"animal hides here.  You ",석회유와 원피로 양피지를 만들 수도 있습니다.,
"can also make parchment ",,
"using milk of lime and ",,
a hide.,,
"Process raw fish into ",여기서 생선을 가공해 먹을 수 있는 음식으로 만듭니다.,
"edible food here.  Raw ",가공되지 않은 생선은 먹지 않습니다.,
fish will not be eaten.,,
"Cook meals here.  You ",여기서 요리를 합니다. 또한 지방을,
"can also render fat ",녹여 탈로로 만들 수도 있습니다.,
into tallow.,,
"Process plants and work ","여기서 식물을 가공하고 가축을 돌봅니다. 젖을 짜고,",
"with livestock here.  ","털을 깎고 치즈를 만들며, 털뭉치를",
"Milk and shear animals, ",실로 잣습니다.,
"make cheese, and spin ",,
thread.,,
"Make sugar, flour, and ","여기서 설탕, 밀가루와 다양한 유용한",
"various useful slurries ",반죽을 만듭니다. 동력 맷돌에 비해 작업,
"here.  Tasks are ",완료 속도가 매우 느립니다.,
"completed very slowly ",,
"compared to the powered ",,
millstone.,,
"Capture and train small ",여기서 작은 동물을 포획하고 훈련합니다. 동물,
"animals here.  Requires ",덫이 필요합니다.,
animal traps.,,
"When placed, a female ","설치하면 사용할 수 있는 암컷 새가 있을 경우,",
"bird will claim the box ",그 새가 상자를 차지하고 알을 낳기 시작합니다.,
"and start laying eggs, ",,
if one is available.,,
"Keep a colony of ",벌통에서 곤충 군락을 기릅니다. 벌통을 설치한 뒤에는,
"insects at your hives.  ","야생 군락을 채집해야 하며, 또는 기존",
"A wild colony must be ",벌통의 군락에서 분봉할 수 있습니다.,
"collected after the ",,
"hive is placed, or a ",,
"colony can be split ",,
"from an existing hive ",,
colony.,,
"Furnaces are used for ","용광로는 제련, 유리 제작, 도자기",
"smelting, glassmaking, ","제작, 재 만들기, 또는 목재나 원탄에서 연료를",
"pottery, ashmaking, or ","만드는 데 사용됩니다. 용광로를 작동하려면 연료가 필요하며,",
"to make fuel from wood ",일부는 마그마 위에 설치해 연료를,
"or raw coal.  Furnaces ",대신할 수 있습니다.,
"require fuel to ",,
"function, or they can ",,
be set above magma.,,
"Bake clay objects here, ",여기서 점토 물품과 그 밖의 몇 가지,
"as well as a few other ","유용한 재료를 굽습니다. 점토 수집 구역이 있다면,",
"useful materials.  Clay ",여기서 점토도 수집할 수 있습니다.,
"can also be collected ",,
"here if you have a clay ",,
"collection zone.  All ",,
"tasks require fuel ",점토 수집을 제외한 모든 작업에는,
"aside from clay ",연료가 필요합니다.,
collection.,,
"You can make a variety ",세 가지 서로 다른 유리 종류를 사용해,
"of objects using three ",다양한 물품을 만들 수 있습니다. 모래 수집,
"different types of ","구역이 있다면, 여기서 작업을 시작해 자루에",
"glass.  You can also ",모래를 담아 수집할 수도 있습니다.,
"collect sand in bags ",,
"from a task originating ",,
"here, if you have a ",,
"sand collection zone.  ",,
"Glassmaking requires ",유리 제작에는 연료가 필요합니다.,
fuel.,,
"Magma below the furnace ",용광로 아래의 마그마가 작업에 동력을,
"will power tasks.  You ",제공합니다. 용광로를 마그마 위에,
"are responsible for ","설치해야 하며, 그 외의 연료는 필요하지 않습니다.",
"placing the furnace ",,
"above the magma, but no ",,
other fuel is required.,,
"collection zone.  Magma ",가마 아래의 마그마가 작업에 동력을,
"below the kiln will ",제공합니다. 가마를 마그마 위에,
"power tasks.  You are ","설치해야 하며, 그 외의 연료는 필요하지 않습니다.",
"responsible for placing ",,
"the kiln above the ",,
"magma, but no other ",,
fuel is required.,,
"Magma below the smelter ",제련로 아래의 마그마가 작업에 동력을,
"placing the smelter ",,
"Make metal bars from ",여기서 광석을 금속 주괴로 만듭니다. 또한,
"ore here.  Can also ",석탄을 정제해 사용할 수 있는 연료로 만들거나 합금을 만들 수 있습니다.,
"refine coal into usable ",모든 작업에는 연료가 필요합니다.,
"fuel or make alloys.  ",,
All tasks require fuel.,,
"Make charcoal and ash ",여기서 목재로 목탄과 재를 만듭니다。,
"from wood here.  Does ",연료가 필요 없습니다。,
not require fuel.,,
"Used to make lye, ",잿물、포타시、석회유를 만드는 데 사용됩니다。,
"potash, and milk of ",건설에는 블록 1개、통 1개와,
"lime.  Construction ",양동이 1개가 필요합니다。,
"requires blocks, ",,
"barrel, and a bucket.",,
"Make crossbows here ",여기서 목재 또는 뼈로 석궁을 만듭니다。,
"from wood or bone.  The ",금속세공 대장간에서는 금속 석궁과,
"metalsmith's forge can ",금속 볼트를 만들 수 있으며，수공예 작업장은,
"be used for metal ",다른 볼트를 만드는 데 사용됩니다。,
"crossbows and metal ",,
"bolts, and the crafts ",,
"workshop is used to ",,
make other bolts.,,
"Make beds and various ",여기서 침대와 각종 가구를 만들며，보관,
"furniture here, as well ",함、통 등도 만들 수 있습니다。,
"as bins, barrels, and ",,
"Make crafts for trade ",여기서 무역용과 자신의 주민,
"and your own citizens ",이 사용할 공예품을 만들며，각종 도구、,
"here, as well as a ",갑옷과 볼트도 만듭니다。,
"variety of tools, ",,
"armor, and bolts.",,
"Cut rough gems here to ",여기서 거친 보석을 절단하여 가치를 높이고，,
"increase their value, ",또한 절단한 보석을 박아넣어,
"and improve the value ",다른 물건의 가치를 높일 수 있습니다。,
"of other objects by ",,
"encrusting them with ",,
cut gems.,,
"Forge weapons and armor ",여기서 무기와 갑옷을 단조하고，대부분의,
"here, as well as most ",다른 금속 제품（가구부터 함정,
"other metal objects ",부품까지）도 만들 수 있습니다。,
"from furniture to trap ",,
"components.  Magma ",대장간 아래의 마그마가 작업에 동,
"below the forge will ",력을 제공합니다。대장간을 마그마 위에 배치해야 합니다。,
"the forge above the ",,
"Make mechanisms here ",여기서 레버、압력판,
"which are used to make ",및 기어를 만드는 데 쓰이는 메커니즘을 만듭니다。또한 메커니즘을 사용해,
"levers, pressure ",레버와 압력판을 다른,
"plates, and gears.  You ",기계와 연결할 수도 있습니다。,
"can also use mechanisms ",,
"to link levers and ",,
"pressure plates to ",,
other machinery.,,
"components.  These ",,
tasks require fuel.,이러한 작업에는 연료가 필요합니다。,
"A useful workshop for ",유용한 작업장으로，여러 가지 원,
"pressing liquids from ",다양한 원료에서 액체를 압착합니다. 일부 식물은,
"various sources. Some ",먼저 제분해야 사용할 수 있습니다. 액체 제품을 보관하려면 빈 항아리가,
"plants might need to be ",필요합니다.,
"milled first before ",,
"they can be used.  ",,
"Empty jugs are required ",,
"to store the liquid ",,
products.,,
"Here you can make parts ",여기서 발리스타와 투석기의,
"for ballistae and ",부품을 만들 수 있습니다. 이 작업장은 발리스타 탄약을 조립하는 곳이기도,
"catapults.  This ",합니다.,
"workshop is also the ",,
"place where ballista ",,
ammo is assembled.,,
"Use tallow (rendered ",여기서 수지(정제한 지방) 또는,
"fat) or oil here with ",기름을 잿물과 함께 사용해 비누를 만듭니다.,
lye to make soap.,,
"Make stone furniture ",여기서 석재 가구와 건축에 쓰이는,
"here, as well as blocks ",블록을 제작합니다.,
"which are used in ",,
constructions.,,
"Use options in this ",이 분류의 옵션을 사용해 이미 작업장에서,
"category to place ",제작된 가구를 배치합니다.,
"furniture that has ",,
"already been ",,
"constructed in a ",,
workshop.,,
"Your citizens need a ",주민들에게는 편안하게 잠잘 수 있는,
"comfortable place to ",장소가 필요합니다. 침대는 목수 작업장에서 제작을,
"sleep.  A bed object ",마친 뒤에야 배치할 수 있습니다.,
"must be made at the ",,
"carpenter's shop before ",,
it can be placed.,,
"Chairs are required for ","의자는 사무실 운영에 필수이며,",
"offices to function, ",탁자 옆에 의자를 두는 것이 선호되는 식사 배치입니다.,
"and a chair next to a ",의자/왕좌는 먼저 제작해야 배치할,
"table is the preferred ",수 있습니다.,
"dining arrangement.  A ",,
"chair/throne object ",,
"must be made before it ",,
can be placed.,,
"Tables are required for ",탁자는 식사에 필수입니다. 탁자,
"dining.  A chair should ",옆에는 의자를 배치해야 합니다. 탁자는 먼저 제작해야,
"be placed adjacent to ",배치할 수 있습니다.,
"the table.  A table ",,
"object must be made ",,
before it can be placed.,,
"Chests and coffers are ",상자와 궤짝은 개인 침실에서,
"used in personal ",의복이 아닌 물품을 보관하는 데 사용됩니다. 또한 일부 구역 기반,
"bedrooms for storing ","장소(예: 술집, 병원, 그리고",
"non-clothing objects.  ",도서관）에는 유용한 재료를 보관합니다。상자류,
"They are also used in ",,
"some zone-based ",,
"locations like taverns, ",,
"hospitals, and ",,
"libraries for storing ",,
"useful materials.  A ",,
"box object must be made ",,
"Cabinets are used in ",옷장은 개인 침실에서 의복 물품을 보관하는 데 사용됩니다。,
"personal bedrooms for ",옷장 물품은 배치하기 전에 먼저 제작해야 합니다。,
"storing clothing ",,
"objects.  A cabinet ",,
"The dead are buried in ","사망자는 관에 안장됩니다。관은 반드시 ",
"coffins.  Coffins must ","전용 무덤 구역에 배치되어야만 ",
"be placed in their own ","효과가 있습니다。관 물품은 먼저 제작해야 ",
"tomb zone in order to ",배치할 수 있습니다。,
"work.  A coffin object ",,
"Citizens that cannot be ","제대로 안장되지 못한 주민도 석판에 새겨 ",
"buried properly can ","추모할 수 있습니다。석판은 석공 작업장에서 제작하고 ",
"still be memorialized ",새깁니다。,
"on slabs.  Slabs are ",,
"created and engraved at ",,
the stoneworker's shop.,,
"Statues can be used to ","조각상은 요새를 장식하고 ",
"decorate your fortress ","방의 가치를 높일 수 있습니다。조각상 물품은 ",
"and add value to your ",먼저 알맞은 작업장에서 제작해야 합니다。,
"rooms.  A statue object ",,
"must be made at an ",,
"appropriate workshop ",,
first.,,
"Certain injuries such ","일부 부상（예: 중첩 골절）은 ",
